text,label,prediction
"The reason it hasn't ""lived up to expectations"" is because of the number of people here who took the warnings seriously and followed the CDC guidelines.  I'm pretty sure the people of India don't think it's a joke.",0,1
The CDC's guidelines are clear; you just don't like them.,0,1
"#China, the virus and #Egypt. #CovidVaccine https://t.co/cQdR26BMuM",1,0
My state will get #CovidVaccine On December 2023. https://t.co/B4V1thoBY7,1,0
"The World is looking at #Hyderabad for #CovidVaccine 

#COVID19India https://t.co/vDvTmEIo2m",1,0
Anyone who entertains - at all - the possibility of a #CovidVaccine being safely available in time f… https://t.co/8o9fVKe7mg,1,0
"Despite my expectations, I wasn't vaccined yesterday. I was only tested for alcohol, drugs, hepatitis, syphilis and… https://t.co/CAWpaAjT6x",1,0
https://t.co/RymqkImNQW #covidvaccine #oxfordvaccine#covishield ,1,0
"In a major development, Adar Poonawalla's Serum Institute of India has started the Phase-2/3 trial of a promising C… https://t.co/n7Eh9GeJOO",1,0
"CDC schools guidelines prioritize in-person learning, even though not all Covid-19 safety measures are in place  https://t.co/QzBOTN6dnm",0,1
 it is a bitter truth that those who are searching in Google {non Medical}  know much about covid than 90 percent of doctors.. Reason doctors(not all) after graduation  read only who/cdc/fda guidelines and hear lectures of medical rep about  newly launched medicine..,0,1
"And since the CDC and administration relaxed covid guidelines despite the objections of everyone with functioning brain cells (with states directly following their lead, causing this predicament), do we conclude that the admin and CDC don't care about Black and Brown people?",0,1
"Looks like #CovidVaccine will also meet fate of #PolioVaccine.

BTW, what happened to #EconomicBoycott? https://t.co/X5K6AyW1XV",1,0
Since you are informing the public about mask. You should put out correct information. The CDC makes guidelines they do not make laws. Plus it's not the law weather to wear a mask or not. I have not found any law made to that rule. Please truly care for the people and tru facts,0,1
India's drug regulator has directed Serum Institute of India to suspend recruitment of new volunteers for phase 2 a… https://t.co/g1a3NFbr0T,1,0
"This is funny, I don’t care who you are. #FakeNewsIsTheRealPandemic
#LiberalHypocrisy #LiberalLogic… https://t.co/ssBOugkwZz",0,1
"It SHOULD be the elderly and most vulnerable. 

It WILL be the rich and powerful. 

#CovidVaccine https://t.co/CmJWXDcty4",1,0
"Only an idiot would go on a cruise without some form of protection from Covid 19. The CDC was wise to provide these guidelines, as its mandate is to do what it can to protect the health of you, me and every other American.",0,1
"It’s PRIME vacation season! 🏄 Thanks to the vaccine &amp; new CDC travel guidelines, Americans are ready for summer vacation. Does your organization have a plan? In this article, Lisa Rabasca Roepe lists 5 ways managers can handle multiple requests.    https://t.co/0Qlk8SCDCm  https://t.co/JLgKPY3zOH",1,0
"The CDC allowed the previous administration to punk them into changing guidelines &amp; then pulled this whole ""let us mask on the honor system"" bs. Now, they are scared about a variant. I'm sick of them.",0,1
"I’m also reminded of work by Pathos Labs, which assembled persuasion and messaging strategies to help increase compliance and positive behaviors as they relate to public health orders and CDC guidelines.  More:  https://t.co/Txreo75GCM  https://t.co/fkGY1vaS1R",0,1
Trump Wants to Move Beyond #Democrats #Covid19 Panic &amp; Hysteria  Until #CovidVaccine is Available for the Seriously… https://t.co/dtD45KDgNj,1,0
Same people worried about microchips in the #CovidVaccine are the ones who check into on Facebook. We do… https://t.co/2YPyvR1MOv,1,0
"Good News, Hopefully.  
#India's 1st #Covidvaccine-Serum Institute's '#Covishield'- will be commercialised in 73 da… https://t.co/JbpvAa3tNB",1,0
"#Sputnik to #CovidVaccine ! 
Hope it works ! Now #USA is under pressure ! 😅
#RussianVaccine #coronavirus https://t.co/rmzqxOAo1b",1,0
🏙 We are so excited to see these familiar faces in our New York office. #WorkivaLife  *Workiva follows all CDC and local guidelines for returning to the office.  https://t.co/JPf1nxd5po,0,1
"If this varient is more dangerous than the original version, y delete the mandate of masks ? There is so many ppl who dnt believe in covid, wearing masks, or getting the vaccine who abuse the privilege of the new cdc guidelines +",0,1
"Big Breaking: #Russia has become the first country in the world to register a #CovidVaccine, says President Vladimi… https://t.co/9xLQmuybHb",1,0
"Fully sourced and cited means nothing. It's extremely biased, written by a rabid anti-Trumper, doesn't include any information about CDC guidelines and is completely opinion based. People who share factcheckers would rather believe a two minute wrap-up smear than read for hours  https://t.co/ElT18XkHwb",0,1
"I hope this gets trending #IWillNotTakeTheVaccine

#COVID1984 #coronavirus #CovidVaccine #CovidHoax #CovidVaccineRace",1,0
"wait, there's a candidate in NORTH KOREA???!!! SERIOUSLY???!!! (August 23, 2020; 15:00 HKT) #covidvaccinerace #covidvaccine #NORTHKOREA",1,0
"Can s (Putin's) #CovidVaccine reverse the world market trend and bring back the rerun of bulls?
Pict… https://t.co/h8Jl9YcDC8",1,0
"Labor Day at the EARLIEST, Doc. 

And if there isn’t a #COVIDvaccine by then, the time has come for massive investm… https://t.co/bN2Eq88BGW",1,0
"And ...? Maine's law is better. In the US, the CDC guidelines infer all opiate users are addicts, but they absolutely are not. Crime follows everything that's criminalized. Terrible, terrifying policy. And doesn't reduce drug use AT ALL.",0,1
Put on the breaks. #CovidVaccine  https://t.co/HdNr0UiwAP,1,0
"$MRNA this is crux w/ Moderna #covidvaccine: 

despite of what they themselves call 'clinically sig systemic reacto… https://t.co/5tIbC72oiY",1,0
https://t.co/dnRRqpvA1m PLEASE WATCH THIS MESSAGE! THE MARK OF THE BEAST IS AROUND THE CORNER #DNA #vaccine… https://t.co/GVFekFcNiS,0,1
#CovidVaccine Gujarati always Rock 😂😂😂 https://t.co/AzDCxXm2Zd,1,0
When will the mainstream media stop saying that President failed to meet his goal of vaccinating 70% of America by July 4th? He didn't fail. Nearly half of this country chose to politicize this deadly pandemic instead of following the CDC guidelines.,1,0
"Notice the glaring omission of any mention of the NIH since the are neutral on IVM in C19. Which BTW, the NIH is the only US federal health agency responsible for creating treat guidelines.  Not the FDA or CDC!",0,1
"Plus there are still federal &amp; CDC guidelines for wearing masks in congregate settings, on mass transit &amp; medical facilities.",0,1
"I agree, but I think 22 years is a bit to short for what he done",0,1
⁦Falsely Claims His Daddy Invented #COVIDVaccine Idiot  https://t.co/lqnitjzaLD,1,0
Works for them because it puts liability for going against CDC guidelines on you and your doctor and less on them. Here they check the databases and hearing people trying but they get turned away. Great if you have that privilege. Many don't. homeless. Prison inmates don't.,0,1
"According to the CDC's guidelines for K-12 schools, ""consistent and correct use of face masks reduces the spread of SARS-CoV-2 and, with some exceptions, is recommended for use indoors among people aged 2 and older who are not fully vaccinated.""    https://t.co/2DLyki2sdm",0,1
"“We are going to publish it. There are two reports, the first one will come in several days and it will tell people… https://t.co/PKM2RpQ0r0",1,0
"After successfully controlling  #COVID19 it looks like China may be the first with a #CovidVaccine

https://t.co/TRX9V6ft1M",1,0
Luxurious choice of separating population control with #CovidVaccine is not available as of now. https://t.co/4ZCjC53LSw,1,0
Meanwhile. Some good news around on #COVID__19 #Feluda #CovidVaccine #IPL2020 #Tata #Medicine https://t.co/ExjyyBsiEB,1,0
"A #COVIDvaccine is considered the #silverbullet for a broader market rally, but the S&amp;P 500 won’t see as much of a… https://t.co/LcJjSev8YM",1,0
"Although ""because the CDC says"" is a poor argument, I don't think you're aware of what CDC guidelines for schools even say.    https://t.co/heLM4KJS3w  https://t.co/rj0ufeek97",0,1
This is NOT what we needed to hear right now. Looks like the wait will be a little longer than anticipated...… https://t.co/Ik07SkxzQX,1,0
#Putin says he has the first long term #CovidVaccine and has tested it on his daughter..... https://t.co/2cK4wPYq4d,1,0
Particularly sad #RuthBaderGinsburg handed #GrimReaper #MoscowMitch &amp; #TrumpUnfit4POTUS the #OctoberSurprise whn ot… https://t.co/lwwH0fZMQM,1,0
Book Ordered! Ultimate betrayal? Could trump rebrand Putin’s  #RussianVaccine… https://t.co/an1fTCIZSw,1,0
Now we can all laugh and cough as we like. Russia is here for us.😁#CovidVaccine,1,0
#BigPharma Is #PriceGouging You; Even After Getting Govt. Handout https://t.co/jQjtsizpOX… https://t.co/B89oKn2vjp,0,1
"Why #CovidVaccine will be given only to #Biharis 1st ( I know it's a Jumlaa) ????
What crime have people of… https://t.co/seQricgBiu",1,0
Why does continue to promise a #covidvaccine by the end of the year when the true experts say differently? #delusional,1,0
It is a tactical statement by so that all state governments declare that the #CovidVaccine… https://t.co/lAMC2CQCg2,1,0
"A Taiwanese-developed #CovidVaccine has been given the go-ahead to start human trials. From Addimune Corp., it is t… https://t.co/7ma2Gh9lNn",1,0
The idea that science is somehow pure and void of politics and that scientists should be held as righteous stewards… https://t.co/MMLcinCamf,1,0
"Diagnostic Pathology: Open Access announces Special Issue on ""Therapeutic Applications in COVID-19""
Click here to s… https://t.co/LT2uEebhss",0,1
President #Trump just announced that we've reached an agreement with Moderna to manufacture and deliver 100 million… https://t.co/6l6hGBCXRr,1,0
"A Tampa federal judge gave a win to Florida and Governor Ron DeSantis, Friday, tossing out COVID-19 Centers for Disease Control (CDC) cruise ship guidelines.  https://t.co/Ke24vgrBKJ",0,1
"Lets spread more such positive news. Let's hope 2021 brings new hopes!!

#Covid_19 #COVID19 #CovidVaccine… https://t.co/NKuPrEs04f",1,0
“The emergency is over.”  Governor Cuomo says New York’s Covid-19 State of Emergency expired tomorrow.   Suggests still following Federal CDC guidelines with regard to masks if unvaccinated  https://t.co/B3vzgmmjNq,0,1
"Deep dive into the #CovidVaccine race and the #DMSB with #PaulOffit. Worth the read.

https://t.co/7vpo5pHPan",1,0
.&amp; reasonably optimistic about #CovidVaccine but emphasise nothing’s certain. In meant… https://t.co/GTGZiTupnv,1,0
CDC Updates Guidelines To Protect Kids From COVID In School. Plus: Vacation Tips  https://t.co/RNbmubAwZa #srq #srqlife #sarasota #sarasotaflorida #floridahelpinghands #Florida #Tampa #TampaBay #SiestaKey #siestabeach #bradenton #sarasotafl #manatee #lwr #sarasotacounty #ggv #FL  https://t.co/o7QJXyKjuj,0,1
Can somebody please explain to me why we aren't doing antibody testing? #COVIDー19 #CovidVaccine,0,1
"WTF do any of these people think they are, overruling CDC guidelines or making decisions for anyone regarding medical information?  What's next? Are Republicans going to accompany me to my annual physical and provide me you results?  Fuck all of them.",0,1
"update: DAILY MAIL: scientists respond to DEATH (October 22, 2020; 20:50 HKT) #covidVACCINE",1,0
"Even though people appreciate the Fast Track / Warp Speed approach, they are more concerned about the effectiveness… https://t.co/Sp793MJzbn",1,0
The CDC is leaving it up to local officials to set mask-wearing guidelines as the highly contagious delta variant spreads in areas with low vaccination rates.  https://t.co/b41falcBib,0,1
Want facts abt #COVIDVaccine &amp; #COVIDLongHaulers truth?#ListenToScientists like MD on He believes… https://t.co/C46ypuJ2gv,1,0
"As #gbpusd falls below the 1.27 handle amidst increased Covid measures this morning, the UK can at least be positiv… https://t.co/CPaEsBJbug",0,1
'Wouldn't Trust #Trump On Safety Of #CovidVaccine Released Before #USElections #CoronavirusVaccine #USA #America,1,0
"Also, the problem with those who keep baying about losing their freedom because of COVID-19 restrictions is that they forget that rights and freedom come with responsibilities, and we all have the responsibility of following CDC guidelines to keep us safe.",0,1
Thanks &amp; for interview last week on #CovidVaccine prioritisation.(https://t.co/k1qvWuSLuI) Ha… https://t.co/rrbT96Q2W8,1,0
"Due  to the competition in the #covidvaccinerace, we must estimate a market share for a #Moderna made… https://t.co/Ea9kntNMeo",1,0
"I don't understand these Senators.  The CDC does NOT MAKE LAW.  They issue guidelines.  Anybody can reject them outright.  And nobody can force anybody to wear a mask against their will.  It is a violation of civil rights, medical coercion.  That's the message! ",0,1
3/ The point is criticism of #BJP could make it withdraw the false promise as well as make other parties realize th… https://t.co/ERD3fKUMg0,0,1
"How will be vaccinate the world?
#vacine #vaccinate #coronavirus
#covidvaccine 
Source: Design: Mark Hall https://t.co/lagiNuN9Zb",1,0
"Does Russia have the cure for Corona Virus? 

Read here:
https://t.co/1PgvxzyHkY

#CoronavirusVaccine #CovidVaccine… https://t.co/RA7f8RMlFx",1,0
Nurses union calls on CDC to reinstate universal mask guidelines   https://t.co/eYhp5I5KuQ,0,1
Sirf  #MukeshAmbani  Company &amp; it's Workers Jobs are Safe baaki Sa… https://t.co/GW2KpWZpNz,0,1
"The CDC's new guidelines state that even if you are fully vaccinated and wearing a mask, you should still Google LASD gangs.",0,1
Why don’t you tell big brother newsom to follow the science and to follow the cdc guidelines on mask wearing in schools.,0,1
California schools will still require masks despite CDC guidelines  https://t.co/jBPpz1DjxB,0,1
"I'm not crazy. I don't like crazy people. I follow the CDC guidelines of ""wearing a mask"" for those that are not vaccinated, such as myself. That doesn't mean I don't care about my life. After several tests (including recently), I have tested ""negative"" for any #COVID19 symptoms.",0,1
Welk this is concerning. #CovidVaccine https://t.co/AMuR0zHv3Q,1,0
"Dr. Francis Collins, Director of the NIH, in testimony on the search for a #covidvaccine - ""Science is the way this… https://t.co/1e36QPOTS8",1,0
"Well done Russia and Mr Putin , you are hope of millions of lives that could saved from now till th… https://t.co/d6j19tEec4",1,0
"Doctor warns the #Italian people on #COVIDvaccine #COVID19 

https://t.co/o1QQgKGrDB",1,0
Read up on the CDC website for guidelines and recommendations. I think you’re ok to go.,0,1
Putin ahead of the curve. #CovidVaccine https://t.co/eJedkgM04X,1,0
"""#Putin"" scores over #Trump, #Johnson, #Merkel, #Castex, #Jinping, #Netanyahu, #Conte, #Abe. Need to wait for effec… https://t.co/W73AdPs36q",1,0
"Wondering when a #COVIDVaccine will be available? 💉💊Here's where the research stands, &amp; what the future might hold… https://t.co/aSKooeP2Ny",1,0
"#Twitter ;

#sputnik 
Russia state-affiliated #CovidVaccine",1,0
Is this true? #CovidVaccine  ? https://t.co/ff3UW6dwpJ,1,0
#SputnikV let’s hope this works Russia. #CoronavirusVaccine #CovidVaccine,1,0
Whaat! Is that true? Will our bodies be controlled by external forces through this #CovidVaccine? I heard abt this… https://t.co/ZJ1Vk2mtdD,1,0
Not everybody will have the same chance to be immunised. A recent report says that wealthy nations representing jus… https://t.co/tu5eA0VUk5,1,0
We're revisiting #biotech company Pharmaceuticals that’s leading the way with a #COVID19 antibody cockta… https://t.co/U1V0BGDZyO,0,1
Such a great example of leadership.. Didn't even bother to apply the #CovidVaccine on his daughter https://t.co/2IW34x3Jwr,1,0
Or ...you could do a simple Google search for CDC guidelines on children  and not embarrass the rest of us image bearers of God,0,1
"#azaadi from masks. When is this happening? 
#COVID19 #CovidVaccine https://t.co/mtioeYNRdS",0,1
Why is there no news articles on the protests going on in Manchester about #SaveOurChildren and the #CovidVaccine b… https://t.co/PLdabUToWz,1,0
That was  my point the CDC  guidelines are clear ban for dogs entry to the U.S . You didn't let me travel with CATS  to COLOMBIA.  So whats your point? I want my money back #jetbluesucks,0,1
"#covidvaccine to all those that claim genetic drift of #sarscov2 won't matter much:

In $MRNA pseudovirus neutraliz… https://t.co/eELW2l2Wq5",1,0
Trump administration has said that it will not work with an international cooperative effort to develop and distrib… https://t.co/9fYuRkflLd,1,0
"#CovidVaccine
Russia's President Vladimir Putin on Tuesday said the country has developed the ""first"" coronavirus v… https://t.co/99M6xUOuYK",1,0
"BJP is Blackmailing voters with #CovidVaccine ,  Bihar voters should question BJP and their allies why… https://t.co/7Bu7CxslHX",1,0
im not getting the #covidvaccine because of antivaxers or conspiracy theories. Its because i wont be a guinea… https://t.co/X9HdKwFBm9,1,0
so after a year of “follow CDC guidelines” now we are saying …don’t follow CDC guidelines??? Now because you personally disagree with the CDC but have no factual evidence based on science to support going against them …   https://t.co/GDbgARBzKj,0,1
"Putin ryt now..
#CoronavirusVaccine 
#RussianVaccine 
#CovidVaccine https://t.co/630MB3ZJqI",1,0
I don’t think the GOP lost in Texas and if a large majority of Texans opposed the bill I don’t think the GOP would have majority power there.,0,1
"At least 31,000 volunteers from more than 120 nationalities have taken part in #UAE's first Phase III trials of an… https://t.co/IOt9lS7Kyo",1,0
"Don’t say that you weren’t warned.
#ThursdayThoughts #qanon #QAnon2020 #TikTok #China #RuleBritannia #vaccine… https://t.co/o8XUR8JKsB",0,1
"""We need to rapidly scale up our clinical trials, manufacturing, licensing and regulation capacity"" 

#WHO… https://t.co/bOp6hjGFBJ",1,0
😳 wow my life on the pasion of the public and in accordinancd with cdc guidelines we have a title.,0,1
"-Russia has annouced first #CovidVaccine 
-Putin daughter inoculated
-says rigorous safety data review needed… https://t.co/NwnA9q44Ee",1,0
I follow CDC and local guidelines and happily wear a mask when required.  Because I believe in science.,0,1
"Some (?) in 'twitterland' have seen good effects of mask wearing eg. lack of flu season; those with immune/cancers etc. So, er usual - some people are governed by the CDC and adapt those guidelines (in a positive way) to their own personal circumstances. Agree.",0,1
"Wait, if Russia is claiming the first #CovidVaccine With just a phase 2 testing doesn’t that mean Oxford and Modern… https://t.co/4dNW1gbXw2",1,0
"With growing uncertainty over work, wages, and wellbeing in the wake of the global pandemic Novel Coronavirus COVID… https://t.co/0R49YueOnD",0,1
